Explore our Brands,สำรวจแบรนด์ของเรา
"You appear to have already created an account, please <a href=""{{login_url}}"">sign in</a> instead.","ดูเหมือนว่าคุณได้สร้างบัญชีแล้ว โปรด<a href=""{{login_url}}"">ลงชื่อเข้าใช้</a>แทน"
The first name field is empty.,ช่องกรอกชื่อว่างอยู่
The family name field is empty.,ช่องกรอกนามสกุลว่างอยู่
You are ineligible to register for ASICS ID.,คุณไม่มีสิทธิ์ลงทะเบียน ASICS ID
Internal server error,ข้อผิดพลาดของเซิร์ฟเวอร์ภายใน
Please verify that you used your correct birthday.,โปรดตรวจสอบว่าคุณใช้วันเกิดที่ถูกต้อง
The email is invalid,อีเมลไม่ถูกต้อง
Invalid email or password,อีเมลหรือรหัสผ่านไม่ถูกต้อง
Please select your date of birth.,โปรดเลือกวันเกิดของคุณ
Please select your country.,โปรดเลือกประเทศของคุณ
Please select your gender.,โปรดเลือกเพศของคุณ
The password must have at most 72 characters.,รหัสผ่านต้องประกอบด้วยอักขระอย่างมากที่สุด 72 ตัว
The password must have at least 8 characters.,รหัสผ่านต้องประกอบด้วยอักขระอย่างน้อยที่สุด 8 ตัว
User not found,ไม่พบผู้ใช้
January,มกราคม
February,กุมภาพันธ์
November,พฤศจิกายน
December,ธันวาคม
March,มีนาคม
April,เมษายน
May,พฤษภาคม
June,มิถุนายน
July,กรกฎาคม
August,สิงหาคม
September,กันยายน
October,ตุลาคม
Next Month,เดือนหน้า
Previous Month,เดือนที่แล้ว
Sunday,อาทิตย์
Monday,จันทร์
Tuesday,อังคาร
Wednesday,พุธ
Thursday,พฤหัสบดี
Friday,ศุกร์
Saturday,เสาร์
Sun,อา.
Mon,จ.
Tue,อ.
Wed,พ.
Thu,พฤ.
Fri,ศ.
Sat,ส.
Edit Profile,แก้ไขโปรไฟล์
Please sign in to update your profile.,โปรดลงชื่อเข้าใช้เพื่ออัปเดตโปรไฟล์ของคุณ
SAVE,บันทึก
Save,บันทึก
Go back,กลับ
No transactions found in the selected time duration.,No transactions found in the selected time duration.
Delete,ลบ
ID,ID
Key,คีย์
Name,ชื่อ
Public keys,คีย์สาธารณะ
Public keys,คีย์สาธารณะ
CONFIRM EMAIL ADDRESS,ยืนยันที่อยู่อีเมล
Please confirm you email address,โปรดยืนยันที่อยู่อีเมลของคุณ
Please confirm your email address,โปรดยืนยันที่อยู่อีเมลของคุณ
Thank you for registering your ASICS ID. Click below to complete your registration.,ขอขอบคุณสำหรับการลงทะเบียน ASICS ID ของคุณ คลิกด้านล่างเพื่อดำเนินการลงทะเบียนให้เสร็จสมบูรณ์
Confirmation Failed,การยืนยันไม่สำเร็จ
Email Account Confirmed,ยืนยันบัญชีอีเมลแล้ว
Email Account Confirming…,กำลังยืนยันบัญชีอีเมล…
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการสร้างบัญชี ASICS ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ ASICS"
Already registered? Sign in,ลงทะเบียนแล้วใช่ไหม ลงชื่อเข้าใช้
ASICS ID is the new way to sign in with ASICS services,ASICS ID เป็นวิธีใหม่ในการลงชื่อเข้าใช้ด้วยบริการของ ASICS
Women,หญิง
Tailor Gear and Services For:,ออกแบบอุปกรณ์และบริการสำหรับ:
Men,ชาย
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS Studio <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการสร้างบัญชี ASICS ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ ASICS Studio"
Women,หญิง
Tailor Gear and Services For:,ออกแบบอุปกรณ์และบริการสำหรับ:
Men,ชาย
Confirm your password…,ยืนยันรหัสผ่านของคุณ…
Country,ประเทศ
Create Your ASICS ID,สร้าง ASICS ID ของคุณ
Date of Birth,วันเกิด
Day,วัน
Email,อีเมล
Enter your email address…,กรอกที่อยู่อีเมลของคุณ…
Enter your first name,กรอกชื่อของคุณ
Enter your surname,กรอกนามสกุลของคุณ
Enter your password…,กรอกรหัสผ่านของคุณ…
Please accept our terms & conditions and privacy policy.,โปรดยอมรับข้อกำหนดและเงื่อนไขและนโยบายความเป็นส่วนตัวของเรา
The email field is empty.,ช่องกรอกอีเมลว่างอยู่
The first name field is empty.,ช่องกรอกชื่อว่างอยู่
The family name field is empty.,ช่องกรอกนามสกุลว่างอยู่
The password field is empty.,ช่องกรอกรหัสผ่านว่างอยู่
"Sorry, but an email is required to create an ASICS ID and there is no email associated with your Facebook account. Please choose an alternative method.",ขออภัย ต้องมีอีเมลเพื่อสร้าง ASICS ID และไม่มีอีเมลที่เชื่อมโยงกับบัญชี Facebook ของคุณ โปรดเลือกวิธีอื่น
Password does not match the confirm password.,รหัสผ่านไม่ตรงกับรหัสผ่านที่ยืนยัน
Please select your date of birth.,โปรดเลือกวันเกิดของคุณ
Please select your country.,โปรดเลือกประเทศของคุณ
Female,หญิง
First Name,ชื่อ
Gender,เพศ
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Haglöfs <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการสร้างบัญชี ASICS ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ Haglöfs"
Family Name,นามสกุล
Male,ชาย
Month,เดือน
"By registering I accept the <a href=""{{terms_url}}"" target=""_blank"">terms & conditions</a> of ASICS","ด้วยการลงทะเบียนแสดงว่าฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ ASICS"
"We sent you a confirmation email, please check your inbox.",เราได้ส่งอีเมลยืนยันให้กับคุณแล้ว โปรดตรวจสอบกล่องจดหมายเข้า
New Account Created,สร้างบัญชีใหม่แล้ว
I would like to receive news and promotions from ASICS by email tailored to my preferences and interests.,ฉันประสงค์ที่จะรับข่าวสารและโปรโมชั่นจาก ASICS ผ่านทางอีเมลที่กำหนดตามความชอบและความสนใจของฉัน
Women,หญิง
Tailor Gear and Services For:,ออกแบบอุปกรณ์และบริการสำหรับ:
Men,ชาย
OR,หรือ
Other,อื่นๆ
Password,รหัสผ่าน
"ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our <a href=""{{privacy_url}}"" target=""_blank"">privacy policy.</a>","ASICS ต้องการข้อมูลนี้เพื่อการส่งมอบบริการของเราให้กับคุณ และเพื่อสื่อสารกับคุณ เราจะจัดการกับข้อมูลส่วนบุคคลของคุณโดยให้สอดคล้องกับ<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัวของเรา</a>"
REGISTER,ลงทะเบียน
Required fields,ช่องที่ต้องกรอก
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Runkeeper <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการสร้างบัญชี ASICS ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ Runkeeper"
Select,เลือก
Select your country,เลือกประเทศของคุณ
Sign in with Facebook,ลงชื่อเข้าใช้ด้วย Facebook
Sign in with Google,ลงชื่อเข้าใช้ด้วย Google
Sign Up with Facebook,ลงชื่อสมัครด้วย Facebook
Sign Up with Google,ลงชื่อสมัครด้วย Google
"I would like to receive newsletters and information about products, services and events by e-mail, tailored to my interests and preferences, as described in the <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a>.","ฉันประสงค์ที่จะรับจดหมายข่าวและข้อมูลเกี่ยวกับผลิตภัณฑ์ บริการ และกิจกรรมผ่านทางอีเมลที่กำหนดตามความสนใจและความชอบของฉันตามที่อธิบายไว้ใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>"
"We will email you occasionally with the latest news about the products, services, online tools, events and promotions of our brands (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs and Runkeeper). To understand what is relevant to you we use automatic tools to analyze your personal data. For more information see our privacy policy.","เราจะส่งอีเมลให้กับคุณเป็นระยะๆ เพื่อแจ้งข่าวสารล่าสุดเกี่ยวกับผลิตภัณฑ์ บริการ เครื่องมือทางออนไลน์ กิจกรรมและโปรโมชั่นต่างๆ ในแบรนด์ของเรา (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs และ Runkeeper) เพื่อที่จะทำความเข้าใจในสิ่งที่เกี่ยวข้องกับคุณ เราจะใช้เครื่องมืออัตโนมัติในการวิเคราะห์ข้อมูลส่วนบุคคลของคุณ สำหรับข้อมูลเพิ่มเติม โปรดดูที่นโยบายความเป็นส่วนตัวของเรา"
Thanks for logging in with {{third_party}}.<br />Please complete your registration by filling out the fields below.,ขอขอบคุณสำหรับการเข้าสู่ระบบด้วย {{third_party}}<br />โปรดดำเนินการลงทะเบียนให้เสร็จสมบูรณ์ด้วยการกรอกข้อมูลในช่องด้านล่างนี้
Year,ปี
Already have an account?,มีบัญชีแล้วใช่ไหม
Your key to gear and services from the entire ASICS family.,กุญแจสำคัญของคุณในการเข้าถึงอุปกรณ์และบริการจากทั้งกลุ่ม ASICS
One Account. OneASICS.,One Account OneASICS
Already have an ASICS account?,มีบัญชี ASICS แล้วใช่ไหม
"One account, one simple way to move across the entire ASICS family.",วิธีเดียวที่ง่ายดายในการสำรวจกลุ่ม ASICS ทั้งหมด
Sign Up for ASICS Studio with,ลงชื่อสมัครสำหรับ ASICS Studio ด้วย
Already have an account?,มีบัญชีแล้วใช่ไหม
Your key to gear and services from the entire ASICS family.,กุญแจสำคัญของคุณในการเข้าถึงอุปกรณ์และบริการจากทั้งกลุ่ม ASICS
One Account. OneASICS.,One Account OneASICS
You appear to have already created an account. Please check your email for a password reset link.,ดูเหมือนว่าคุณได้สร้างบัญชีแล้ว โปรดตรวจสอบอีเมลของคุณเพื่อดูลิงก์สำหรับรีเซ็ตรหัสผ่าน
Get Started,เริ่มต้น
Why ASICS ID? This is because we are a part of the ASICS family and the ID is a unified way to move across all ASICS companies with brands such as:,เหตุผลที่ต้องใช้ ASICS ID เนื่องจากเราเป็นส่วนหนึ่งของกลุ่ม ASICS และ ID คือวิธีรวมในการสลับไปมาระหว่างบริษัททั้งหมดของ ASICS พร้อมแบรนด์อย่างเช่น:
Sign Up for Haglöfs with,ลงชื่อสมัครสำหรับ Haglöfs ด้วย
One account. <br /><br />One simple way to move across the entire ASICS family.,One account <br /><br />วิธีเดียวที่ง่ายดายในการสำรวจกลุ่ม ASICS ทั้งหมด
"One account. OneASICS. <br /><br />One simple way to move across the entire ASICS family. Plus, it’s your key to exclusive discounts, products, events, and more.",One account OneASICS <br /><br />วิธีเดียวที่ง่ายดายในการสำรวจกลุ่ม ASICS ทั้งหมด และยังเป็นกุญแจสำคัญของคุณในการรับส่วนลดพิเศษ เข้าถึงผลิตภัณฑ์ กิจกรรม และอื่นๆ
Your key to gear and services from the entire ASICS family.,กุญแจสำคัญของคุณในการเข้าถึงอุปกรณ์และบริการจากทั้งกลุ่ม ASICS
One Account. OneASICS.,One Account OneASICS
We joined the ASICS family to better pursue our mission of getting the whole world running and provide our community with access to industry-leading training plans and exclusive offers.<br /><br />OneASICS is a single sign-on that will seamlessly link your accounts across the ASICS brand family.,เราได้เข้าร่วมกับกลุ่ม ASICS เพื่อพัฒนาการดำเนินรอยตามพันธกิจของเราในการผลักดันโลกของการวิ่ง และให้สิทธิ์แก่ชุมชนของเราในการเข้าถึงแผนการฝึกชั้นนำในอุตสาหกรรม และข้อเสนอที่พิเศษเฉพาะ<br /><br />OneASICS คือการยืนยันตัวบุคคลที่รองรับการลงชื่อเข้าใช้งานระบบเพียงครั้งเดียว ซึ่งจะเชื่อมโยงบัญชีของคุณกับกลุ่มแบรนด์ ASICS ทั้งหมดได้อย่างราบรื่น
Sign Up for Runkeeper with,ลงชื่อสมัครสำหรับ Runkeeper ด้วย
Sign In,ลงชื่อเข้าใช้
Sign Up With Email,ลงชื่อสมัครด้วยอีเมล
Welcome to,ยินดีต้อนรับสู่
SET MY PASSWORD,ตั้งรหัสผ่านของฉัน
Welcome! Your ASICS account registration is almost complete. Click the button below to create your password and you'll be all set.,ยินดีต้อนรับ! การลงทะเบียนบัญชี ASICS ของคุณเกือบเสร็จสมบูรณ์แล้ว คลิกปุ่มด้านล่างเพื่อสร้างรหัสผ่าน และคุณก็จะพร้อมใช้งานแล้ว
Set Your Password,ตั้งรหัสผ่านของคุณ
"Note: If this email was sent in error, just ignore it. You don't need to take any action, none of your data will be changed.",หมายเหตุ: ไม่ต้องสนใจ หากอีเมลนี้ถูกส่งเนื่องจากข้อผิดพลาด คุณไม่ต้องดำเนินการใดๆ จะไม่มีการเปลี่ยนแปลงข้อมูลใดๆ ของคุณ
RESET MY PASSWORD,ตั้งรหัสผ่านใหม่
Reset My Password,ตั้งรหัสผ่านใหม่
Reset Your Password,รีเซ็ตรหัสผ่านของคุณ…
Reset your ASICS ID password,รีเซ็ตรหัสผ่าน ASICS ID ของคุณ
"Someone – probably you – has requested to reset the password for your ASICS ID. If you want to reset your password, please click on the button below.",ใครบางคนซึ่งอาจเป็นคุณได้ขอให้มีการรีเซ็ตรหัสผ่านสำหรับ ASICS ID ของคุณ หากคุณต้องการรีเซ็ตรหัสผ่าน โปรดคลิกปุ่มด้านล่าง
Confirm your password…,ยืนยันรหัสผ่านของคุณ…
Enter your password…,กรอกรหัสผ่านของคุณ…
The password field is empty.,ช่องกรอกรหัสผ่านว่างอยู่
Password does not match the confirm password.,รหัสผ่านไม่ตรงกับรหัสผ่านที่ยืนยัน
Login,เข้าสู่ระบบ
Need to login,ต้องเข้าสู่ระบบ
New Password,รหัสผ่านใหม่
You can now login to all ASICS services with your new password.,ตอนนี้ คุณสามารถเข้าสู่ระบบเพื่อไปยังบริการทั้งหมดของ ASICS ได้ด้วยรหัสผ่านใหม่
New Password Has Been Set,ตั้งรหัสผ่านใหม่แล้ว
Reset Your ASICS ID Password,รีเซ็ตรหัสผ่าน ASICS ID ของคุณ
SET NEW PASSWORD,ตั้งรหัสผ่านใหม่
Password Field,ช่องกรอกรหัสผ่าน
Set Password,ตั้งรหัสผ่าน
{{.Name}} was successfully created,สร้าง {{.Name}} เรียบร้อยแล้ว
ru-RU,ru-RU
Welcome to the best of everything.,ยินดีต้อนรับสู่ทุกสิ่งที่ดีที่สุด
You're In,คุณมาถึงแล้ว
Enter your information to help us tailor gear and services for you.,กรอกข้อมูลของคุณเพื่อช่วยเราในการออกแบบอุปกรณ์และบริการสำหรับคุณ
Create Your ASICS Account,สร้างบัญชี ASICS ของคุณ
Welcome to the best of everything.,ยินดีต้อนรับสู่ทุกสิ่งที่ดีที่สุด
You're In,คุณมาถึงแล้ว
Enter your information to help us tailor gear and services for you.,กรอกข้อมูลของคุณเพื่อช่วยเราในการออกแบบอุปกรณ์และบริการสำหรับคุณ
Country,ประเทศ
Create Your Account,สร้างบัญชีของคุณ
Date of Birth,วันเกิด
Email,อีเมล
Female,หญิง
First Name,ชื่อ
Gender,เพศ
Last Name,นามสกุล
Male,ชาย
New Account Created,สร้างบัญชีใหม่แล้ว
Welcome to the best of everything.,ยินดีต้อนรับสู่ทุกสิ่งที่ดีที่สุด
You're In,คุณมาถึงแล้ว
Enter your information to help us tailor gear and services for you.,กรอกข้อมูลของคุณเพื่อช่วยเราในการออกแบบอุปกรณ์และบริการสำหรับคุณ
Other,อื่นๆ
Password,รหัสผ่าน
Must be at least 8 characters,ต้องมีอักขระอย่างน้อย 8 ตัว
Required fields,ช่องที่ต้องกรอก
We need your date of birth to generate personalized training plans for you.,เราต้องใช้วันเกิดของคุณเพื่อสร้างแผนการฝึกส่วนบุคคลสำหรับคุณ
Select your country,เลือกประเทศของคุณ
Select your gender,เลือกเพศของคุณ
Sign Up,ลงชื่อสมัคร
"By signing up for ASICS ID you are agreeing to the <a href=""{{terms_url}}"" rel=""nofollow"">terms and conditions</a>. You can read about our privacy policy <a href=""{{privacy_url}}"" rel=""nofollow"">here</a>.","ด้วยการลงชื่อสมัครใช้ ASICS ID แสดงว่าคุณยอมรับใน<a href=""{{terms_url}}"" rel=""nofollow"">ข้อกำหนดและเงื่อนไข</a> คุณสามารถอ่านนโยบายความเป็นส่วนตัวของเราได้<a href=""{{privacy_url}}"" rel=""nofollow"">ที่นี่</a>"
sv-SE,sv-SE
Change Email,เปลี่ยนอีเมล
Change Password,เปลี่ยนรหัสผ่าน
Cookie Policy,นโยบายเกี่ยวกับคุกกี้
Delete,ลบ
Forget Password,ลืมรหัสผ่าน
home,โฮมเพจ
Login,เข้าสู่ระบบ
Logout,ออกจากระบบ
Profile,โปรไฟล์
Register Lander,ลงทะเบียน Lander
Terms and Conditions,ข้อกำหนดและเงื่อนไข
Registered Customers,ลูกค้าที่ลงทะเบียนแล้ว
"If you have an account, sign in with your email address.","หากคุณมีบัญชีผู้ใช้งาน กรุณาลงชื่อเข้าใช้งานด้วยอีเมลแอดเดรสของคุณ"
Required Fields,Required Fields
Please enter a valid email address (Ex: johndoe@domain.com).,กรุณากรอกอีเมล์แอดเดรส (เช่น johndoe@domain.com)
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,การลงชื่อเข้าใช้งานไม่ถูกต้องหรือแอคเคาท์ของท่านอาจถูกปิดใช้งานชั่วคราว กรุณารอสักครู่แล้วลองลงชื่อเข้าใช้งานอีกครั้ง
This is a required field.,ท่านจำเป็นต้องกรอกข้อมูลในช่องนี้
Manage Addresses,แก้ไขข้อมูลที่อยู่
You have not set a default billing address.,ท่านไม่ได้กำหนดที่อยู่สำหรับเรียกเก็บเงิน (ที่ใช้แสดงเป็นค่าตั้งต้น)
Edit Account Information,แก้ไขข้อมูลบัญชีผู้ใช้งาน
• Faster checkout,• ชำระเงินเร็วขึ้น
• Fuss-free returns,"• คืนสินค้าอย่างสะดวกสบาย"
• Order history tracking,• ติดตามประวัติการสั่งซื้อ
Hello,สวัสดี
LOGOUT,ออกจากระบบ
My Profile,ประวัติของฉัน
My Orders ,คำสั่งของฉัน
My Wishlist,"รายการสิ่งที่ปรารถนา"
My Saved Cart,รถเข็นที่บันทึกไว้ของฉัน
My Saved Addresses,ที่อยู่ที่บันทึกไว้ของฉัน
My Returns,การคืนสินค้าของฉัน
Additional Settings,การตั้งค่าเพิ่มเติม
Order ID:,หมายเลขคำสั่งซื้อ:
Item(s),รายการ
Show…per page,แสดงข้อมูลหน้าละ...รายการ
No. Of Items:,หมายเลขรายการ :
View Details,ดูรายละเอียด
Account Information,ข้อมูลบัญชีผู้ใช้งาน
CONTACT INFORMATION,ข้อมูลสำหรับติดต่อ
Contact Information,ข้อมูลสำหรับติดต่อ
NEWSLETTERS,จดหมายข่าว
Newsletters,จดหมายข่าว
NEWSLETTER,จดหมายข่าว
"You are subscribed to ""General Subscription"".","ท่านได้ลงชื่อรับ ""ข้อมูลข่าวสารทั่วไป"" แล้ว"
Address Book,สมุดบันทึกที่อยู่
Default Billing Address,ที่อยู่สำหรับเรียกเก็บเงิน (ที่ใช้แสดงเป็นค่าตั้งต้น)
Default Shipping Address,ที่อยู่สำหรับจัดส่ง (ที่ใช้แสดงเป็นค่าตั้งต้น)
Buy now,ซื้อตอนนี้
Empty Saved Address,"ยังไม่มีข้อมูลที่อยู่"
There are no Shipping Addresses saved for this account.,ไม่มีที่อยู่จัดส่งสำหรับบัญชีนี้
BUY ALL,ซื้อทั้งหมด
Buy All,ซื้อทั้งหมด
BUY ALL SELECTED,เลือกซื้อ
Buy All Selected,เลือกซื้อ
Create New Address,สร้างที่อยู่ใหม่
Phone Number,หมายเลขโทรศัพท์
Province,"จังหวัด"
District,เมือง
My Returns,การคืนสินค้าของฉัน
My Returns Requests,การขอคืนสินค้าของฉัน
You have placed no return request.,ท่านไม่ได้ทำการขอคืนสินค้าใด
GSM,GSM
Sign Up For Our Newsletter,ลงทะเบียน Newsletter
Receive special offers & the latest exclusive news about Onitsuka Tiger products.,รับข้อเสนอสุดพิเศษ และข่าวสารเกี่ยวกับผลิตภัณฑ์ตัวใหม่ของ Onitsuka Tiger ก่อนใคร
"I would like to receive communications from ONITSUKA TIGER - including for exclusive member services, events, and gear. I have read , understood and agree to the applicable <a href='%1'>Privacy Policy</a>","ฉันยินยอมรับข่าวสารจาก ONITSUKA TIGER รวมถึงการให้บริการสมาชิก กิจกรรม และสินค้าต่างๆ ฉันได้อ่านทำความเข้าใจและยอมรับ<a href=""%1"">นโยบายความเป็นส่วนตัว</a>แล้ว"
SIGN UP,สมัคร
TRACK YOUR ORDER,ติดตามคำสั่งซื้อของท่าน
Track your order,ติดตามคำสั่งซื้อของท่าน
Track Your Order,ติดตามคำสั่งซื้อของท่าน
Get updates about your Order status. Enter your Order ID and Email.,รับข้อมูลอัพเดทสถานะการสั่งซื้อ กรอกหมายเลขคำสั่งซื้อและอีเมล์แอดเดรส
TRACK ORDER,ติดตามสินค้า
Track Order,ติดตามสินค้า
Item in Cart,สินค้าในตะกร้า
Order Subtotal,รวมยอดสั่งซื้อ
VIEW AND EDIT CART,ตรวจสอบและแก้ไขข้อมูลในตะกร้า
View and Edit Cart,ตรวจสอบและแก้ไขข้อมูลในตะกร้า
Clear Shopping Cart,ลบข้อมูลทั้งหมดในตะกร้าสั่งซื้อ
Update Shopping Cart,อัพเดทข้อมูลในตะกร้าสั่งซื้อ
STORE FINDER,ค้นหาร้าน
* Required Fields,กรุณากรอกข้อมูลให้ครบถ้วน
create an id,สร้าง ID
"I have read the <a href=""%1"">Onitsuka Tiger terms and conditions</a> and I agree with it.","ฉันได้อ่าน <a href=""%1"">ข้อกำหนดและเงื่อนไขของ Onitsuka Tiger</a> และฉันยอมรับแล้ว"
Hello %1,สวัสดี %1
(LogOut),(ออกจากระบบ)
Sign up for our newsletter and receive 10% off your first purchase.,ลงทะเบียนเพื่อติดตามข่าวสารและ รับส่วนลด 10% ในการซื้อครั้งแรกของคุณ.
Enter Email Address,กรอกอีเมล
DATE OF BIRTH:,วันเกิด
Date,วันที่
You must be at least sixteen (16) years of age to subscribe.,คุณต้องมีอายุไม่ต่ำกว่า 16 ปีเพื่อลงทะเบียนติดตามเรา.
I have read the <a href='%1'>privacy policy</a> and agree with it upon clicking the Submit button.,ฉันได้อ่าน <a href='%1'>นโยบายความเป็นส่วนตัวของ</a> ASICS และยืนยันด้วยการคลิ๊กปุ่มลงทะเบียน
*Highlighted fields are mandatory.,ส่วนที่ไฮไลท์คือส่วนที่ต้องกรอก
Thank You,ขอขอบคุณ
Submit,ส่ง
Place Order,ยืนยันการสั่งซื้อ
Subtotal  (Exclusive of GST),รวม (พิเศษ GST)
Subtotal  (Inclusive of GST),รวม (รวม GST)
Address,ที่อยู่
Address%1,ที่อยู่%1
Save & Continue,บันทึกและดำเนินการต่อ
Save and Continue,บันทึกและดำเนินการต่อ
Do you want to remove the address?,ท่านต้องการลบข้อมูลที่อยู่หรือไม่
Yes,ใช่
don't have an id?,ท่านไม่มีหมายเลขประจำตัวหรือ
Change Email and Password,เปลี่ยนอีเมล์และรหัสผ่าน
Recent Orders,คำสั่งซื้อล่าสุด
View All,ดูข้อมูลทั้งหมด
Order,คำสั่งซื้อ
Order #,คำสั่งซื้อ
Date,วันที่
Ship To,จัดส่งไปยัง
Order Total,ยอดสั่งซื้อ
Status,สถานะ
Action,การดำเนินการ
You aren't subscribed to our newsletter.,ท่านไม่ได้ลงทะเบียนรับจดหมายข่าวจากเรา
View Order,ดูข้อมูลคำสั่งซื้อ
You have successfully signed up to receive ASICS newsletters.,ท่านได้ลงทะเบียนเพื่อรับจดหมายข่าวจาก ASICS เรียบร้อยแล้ว
Tax,ภาษี
Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.,ข้อมูลในช่องนี้จะต้องประกอบด้วยอักษรอย่างน้อย %1 ตัว ระบบจะไม่นับช่องว่างด้านหน้าสุดและด้านหลังสุด
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","ข้อมูลในช่องนี้จะต้องเป็นไปตามเงื่อนไขที่ระบุด้านล่างนี้อย่างน้อย %1 ประการ เงื่อนไข: มีอักษรตัวพิมพ์เล็ก, มีอักษรตัวพิมพ์ใหญ่, มีตัวเลข, มีอักษรพิเศษอื่น ๆ"
Password Strength,ระดับความปลอดภัยของรหัสผ่าน
Weak,ต่ำ
Strong,สูง
Show,แสดงข้อมูลหน้าละ
per page,รายการ
%1 Item,รายการ
%1 Items,รายการ
%1 Item(s),รายการ
"ASICS (Thailand) Co., Ltd.",บริษัท ASICS (ประเทศไทย) จำกัด
"11/1 AIA Sathorn Tower 14th Floor, Unit 01",11/1 เอไอเอสาทรทาวเวอร์ชั้น 14 ยูนิต 01
"South Sathorn Road, Yannawa,",ถนนสาทรใต้ยานนาวา
"Sathorn, Bangkok 10120 Thailand",สาทร 10120 ประเทศไทย
TAX ID,รหัสภาษี
TAX INVOICE / RECEIPT,ใบกำกับภาษี / ใบเสร็จรับเงิน
SHIPPING ADDRESS,ที่อยู่จัดส่ง
BILLING ADDRESS,ที่อยู่เรียกเก็บเงิน
SHIPPING METHOD,วิธีการส่ง
ORDER DETAILS,รายละเอียดการสั่งซื้อ
Order No,หมายเลขสั่งซื้อ
Order Date,วันสั่งซื้อ
Invoice No,หมายเลขใบแจ้งหนี้
Invoice Date,วันที่แจ้งหนี้
Tax Invoice No,หมายเลขใบกำกับภาษี
Tax Invoice Date,วันที่ในใบกำกับภาษี
RETURN FORM,แบบฟอร์มรับคืน
Postal Returns (For Home Delivery orders),ส่งคืนทางไปรษณีย์ (สำหรับคำสั่งซื้อจัดส่งที่บ้าน)
Please note that an online return request form has to be raised in order to process your return.,โปรดทราบว่าจะต้องยกแบบฟอร์มการส่งคืนแบบออนไลน์เพื่อประมวลผลการส่งคืนของคุณ
You will need to fill in the above Return Form and insert it into your return parcel.,คุณจะต้องกรอกแบบฟอร์มส่งคืนข้างต้นและใส่ลงในพัสดุส่งคืน
You will need to fill in the above Return Form and hand it over to the store in order to process your return.,คุณจะต้องกรอกแบบฟอร์มส่งคืนข้างต้นและส่งมอบให้กับร้านค้าเพื่อดำเนินการส่งคืนสินค้าของคุณ
Sire too big,ฝ่าบาทใหญ่เกินไป
Size too small,ขนาดเล็กเกินไป
Unhappy with quality,ไม่พอใจกับคุณภาพ
Unhappy with material,ไม่พึงพอใจกับวัสดุ
Not as pictured,ไม่เป็นภาพ
Not as described,ไม่เป็นไปตามที่อธิบายไว้
Parcel damaged on arrival,พัสดุเสียหายเมื่อมาถึง
Wrong item sent,ส่งรายการผิด
Defective item sent,ส่งรายการที่มีข้อบกพร่อง
Change of mind,เปลี่ยนใจ
No,จำนวน
